Message Text,Label
"Hey, I'm interested in your item. Is it still available?",Legitimate
I'm very interested in your item. Can I pay with PayID?,Suspicious
Can you please share your bank details for payment?,Legitimate
"I'm sorry, I can't meet in person. Can I pay with a money transfer instead?",Suspicious
Is your item still available?,Legitimate
"I want to buy your item, but I need to know your bank account details first.",Suspicious
"Hi, is your item still available for sale?",Legitimate
Can you please provide me with your mobile number?,Suspicious
I'm interested in your item. Can I pay with a cheque?,Suspicious
I'm interested in buying your item. Can we meet in person to do the transaction?,Legitimate
"Hi, is your item still available? I want to buy it.",Legitimate
I'm interested in your item. Can I pay with a wire transfer?,Suspicious
"Hi, I want to buy your item. Can we do the transaction over the phone instead?",Suspicious
Is your item still available for sale?,Legitimate
Can you please provide me with your email address?,Suspicious
"I'm interested in buying your item, but I'm not available to meet in person. Can I pay with a credit card?",Suspicious
"Hi, is your item still available? Can you deliver it to me?",Legitimate
I'm interested in your item. Can I pay with PayPal?,Legitimate
"Hi, is your item still available for sale? I want to buy it.",Legitimate
Can you please provide me with your PayPal email address?,Suspicious
I'm interested in your item. Can I pay with cryptocurrency?,Suspicious
"Hi, is your item still available? Can we do the transaction through Messenger?",Legitimate
I'm interested in your item. Can I pay with a gift card?,Suspicious
"Hi, is your item still available for sale? Can you ship it to me?",Legitimate
I'm interested in your item. Can I pay with a cashier's check?,Suspicious
"Hi, I'm interested in your item. Can I pay with a personal check?",Suspicious
Is your item still available? Can you send me more pictures of it?,Legitimate
I'm interested in your item. Can I pay with a money order?,Suspicious
"Hi, is your item still available for sale? I want to buy it for my son.",Suspicious
I'm interested in your item. Can I pay with Venmo?,Suspicious
"Hi, is your item still available? Can I pay with a prepaid debit card?",Suspicious
Is your item still available? Can you provide me with more details about it?,Legitimate
I'm interested in your item. Can I pay with a credit card over the phone?,Suspicious
"Hi, I want to buy your item. Can we do the transaction through WhatsApp?",Suspicious
I'm interested in your item. Can I pay with Zelle?,Suspicious
"Yes, it is. Can you meet up in person to complete the transaction?",Legitimate
"Sorry, it's already sold.",Legitimate
"No, it's not available anymore.",Legitimate
I can only pay through PayPal.,Suspicious
"I can only pay with a personal check, is that okay?",Suspicious
Can you please send me a picture of your ID or credit card for verification purposes?,Suspicious
"I'm interested, but I'm currently out of the country. I want to buy it",Suspicious
I can only pay with a wire transfer.,Suspicious
I'll send you the money via PayID,Suspicious
I'll pay you via credit transfer if you ship it to me overseas.,Suspicious
I'll only buy it if you give me a discount and ship it to me for free.,Suspicious
I'll only buy it if you send it to my friend's address instead of mine.,Suspicious
"I'm interested in buying it, but I need you to send me the item first",Suspicious
I'll pay after you send me your identity such as drivers license to verify who you are,Suspicious
I can only pay with a gift card.,Suspicious
"I'm interested, but I need you to send me a sample first.",Suspicious
I can only pay through a money transfer service.,Suspicious
I'll pay you back double the amount if you lend me the money first.,Suspicious
"I'm interested, but I need you to pay for the shipping first.",Suspicious
I can only pay through payid,Suspicious
"I'm interested, but I need you to send it to me before I pay.",Suspicious
I'll pay you extra if you agree to meet me at an isolated location.,Suspicious
I can only pay with a cryptocurrency.,Suspicious
"I'm interested, but I need you to pay for the insurance first.",Suspicious
"I can only pay with a credit card, but the name on the card doesn't match mine.",Suspicious
I'll only buy it if you agree to return part of the money later.,Suspicious
"I'm interested, but I need you to sign up for a trial subscription first.",Suspicious
I'll only pay you if you agree to participate in my MLM scheme.,Suspicious
"I'm interested, but I need you to provide me with your social security number first.",Suspicious
I can only pay through a payment method that doesn't exist.,Suspicious
I'll only pay you if you agree to give me a positive review.,Suspicious
"I'm interested, but I need you to lend me the item first.",Suspicious
I can only pay with a prepaid debit card.,Suspicious
"I'm interested, but I need you to buy me a gift card first.",Suspicious
I'll only buy it if you agree to let me pick it up at your home.,Suspicious
"Hi, I'm interested in purchasing your item.",Legitimate
Please send me more information about the product.,Legitimate
Can I negotiate the price of the item?,Legitimate
Check out my profile for more items for sale!,Legitimate
"Hey, would you be interested in a trade?",Suspicious
Is this item still available?,Legitimate
"I can only pay with a personal check, is that okay?",Suspicious
Can you send me your phone number to discuss further?,Legitimate
"I'm not interested, sorry.",Legitimate
Stop messaging me.,Legitimate
I'm not interested in what you're selling.,Legitimate
Give me your item for free.,Legitimate
"I'm interested in purchasing this item, can you please send me more photos?",Legitimate
Is this item still available? I'd like to buy it.,Legitimate
Can we arrange a time and place to meet up for the exchange?,Legitimate
Would you be willing to negotiate on the price?,Legitimate
"I'm sorry, I won't be able to make it to our scheduled meeting time. Can we reschedule?",Legitimate
"I noticed you're selling multiple items, would you be willing to offer a discount if I buy them all together?",Legitimate
Can you tell me the dimensions of the item?,Legitimate
I'd like to make an offer for the item. Would you consider a lower price?,Legitimate
Can you provide more information about the item's condition?,Legitimate
"I'm interested in purchasing the item, but I won't be able to meet in person. Can we arrange for shipping?",Legitimate
Hi! I'm interested in buying your item. Would it be possible to meet at [location]?,Legitimate
Could you send me more pictures of the item? I want to make sure it's in good condition.,Legitimate
